Composition,Ref,Density,Young_Modulus_ROM,Young_Modulus_Exp,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Testing_Temp,Yield_Strength,Specific_Strength
Al0.25MoNbTiV,[3],7.1,163.6,168.0 [57],AC,S,BCC,C,RT,1250,176.9
Al0.25NbTaTiV,[4],8.8,130,94,AC,S,BCC,C,RT,1330,151.2
Al0.25NbTaTiZr,[5],8.6,,118,HIP+A,M,BCC+B2,C,RT,1745,203.1
Al0.25NbTaTiZr,[5],8.6,,63,HIP+A,M,BCC+B2,C,1000,366,42.6
Al0.2MoTaTiV,[6],9.3,184,,AC,S,BCC,C,RT,1021,110.3
Al0.3HfNbTaTiZr,[7],9.6,108.3,63,AC,S,BCC,C,RT,1188,124.4
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,[8],7.7,110.2,,HIP+A,S,BCC,C,RT,1965,255
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,[8],7.7,,,HIP+A,S,BCC,C,1000,166,21.5
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,[8],7.7,,,HIP+A,S,BCC,C,800,678,88
Al0.3NbTaTi1.4Zr1.3,[8],8.1,,,HIP+A,M,BCC+B2,C,RT,1965,242.9
Al0.3NbTaTi1.4Zr1.3,[8],8.1,,,HIP+A,M,BCC+B2,C,1000,236,29.2
Al0.3NbTaTi1.4Zr1.3,[8],8.1,,,HIP+A,M,BCC+B2,C,800,362,44.7
Al0.4Hf0.6NbTaTiZr,[8],9.1,110,,HIP+A,S,BCC,C,RT,1841,202.5
Al0.4Hf0.6NbTaTiZr,[8],9.1,,,HIP+A,S,BCC,C,1000,298,32.8
Al0.4Hf0.6NbTaTiZr,[8],9.1,,,HIP+A,S,BCC,C,800,796,87.6
Al0.4Hf0.6NbTaTiZr,[9],9.1,110,78.1,HIP+A,S,BCC,C,RT,1841,202.5
Al0.4Hf0.6NbTaTiZr,[9],9.1,,,HIP+A,S,BCC,C,1200,89,9.8
Al0.4Hf0.6NbTaTiZr,[9],9.1,,23.3,HIP+A,S,BCC,C,1000,298,32.8
Al0.4Hf0.6NbTaTiZr,[9],9.1,,48.8,HIP+A,S,BCC,C,800,796,87.6
Al0.5CrNbTi2V0.5,[10],5.8,,,A,M,BCC+Laves,C,RT,1340,232.4
Al0.5CrNbTi2V0.5,[10],5.8,143,,AC,S,BCC,C,RT,1240,215
Al0.5CrNbTi2V0.5,[10],5.8,,,A,M,BCC+Laves,C,1000,90,15.6
Al0.5CrNbTi2V0.5,[10],5.8,,,A,M,BCC+Laves,C,800,445,77.2
Al0.5CrNbTi2V0.5,[10],5.8,,,A,M,BCC+Laves,C,600,930,161.3
Al0.5HfNbTaTiZr,[7],9.3,106.9,97,AC,S,BCC,C,RT,1302,139.4
Al0.5Mo0.5NbTa0.5TiZr,[5],7.6,,132,HIP+A,M,BCC+B2,C,RT,2350,309.7
Al0.5Mo0.5NbTa0.5TiZr,[5],7.6,,78,HIP+A,M,BCC+B2,C,1000,579,76.3
Al0.5MoNbTiV,[3],6.8,158.4,172.1 [57],AC,S,BCC,C,RT,1625,238.3
Al0.5NbTa0.8Ti1.5V0.2Zr,[8],7.6,111.3,,HIP+A,M,BCC+B2,C,RT,2035,269.2
Al0.5NbTa0.8Ti1.5V0.2Zr,[8],7.6,,,HIP+A,M,BCC+B2,C,1000,220,29.1
Al0.5NbTa0.8Ti1.5V0.2Zr,[8],7.6,,,HIP+A,M,BCC+B2,C,800,796,105.3
Al0.5NbTaTiV,[4],8.5,126.7,98,AC,S,BCC,C,RT,1012,119.6
Al0.6MoTaTiV,[6],8.7,174.1,,AC,S,BCC,C,RT,962,110.9
Al0.75HfNbTaTiZr,[7],9.1,105.3,102,AC,S,BCC,C,RT,1415,155.6
Al0.75MoNbTiV,[3],6.6,153.8,173.9 [57],AC,S,BCC,C,RT,1260,191
Al1.5MoNbTiV,[3],6.1,142.4,173.8 [57],AC,S,BCC,C,RT,500,82.5
AlCr0.5NbTiV,[11],5.6,124.1,,A,S,BCC,C,RT,1300,230.6
AlCr0.5NbTiV,[11],5.6,,,A,S,BCC,C,1000,40,7.1
AlCr0.5NbTiV,[11],5.6,,,A,S,BCC,C,800,640,113.5
AlCr0.5NbTiV,[11],5.6,,,A,S,BCC,C,600,1005,178.2
AlCr1.5NbTiV,[11],5.9,,,A,M,BCC+Laves,C,RT,1700,290.1
AlCr1.5NbTiV,[11],5.9,,,A,M,BCC+Laves,C,1000,75,12.8
AlCr1.5NbTiV,[11],5.9,,,A,M,BCC+Laves,C,800,970,165.5
AlCr1.5NbTiV,[11],5.9,,,A,M,BCC+Laves,C,600,1370,233.8
AlCrMoNbTi,[12],6.6,,,A,M,BCC+unknown,C,RT,1010,-
