Composition,Ref,Density,Young_Modulus_ROM,Young_Modulus_Exp,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Testing_Temp,Yield_Strength,Specific_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
Al0.25MoNbTiV,[3],7.1,163.6,168.0,AC,S,BCC,C,25.0,1250.0,176.9,1,1,6,0
Al0.25NbTaTiV,[4],8.8,130.0,94.0,AC,S,BCC,C,25.0,1330.0,151.2,1,1,6,0
Al0.25NbTaTiZr,[5],8.6,,118.0,HIP+A,M,BCC+B2,C,25.0,1745.0,203.1,3,0,7,0
Al0.2MoTaTiV,[6],9.3,184.0,,AC,S,BCC,C,25.0,1021.0,110.3,1,1,6,0
Al0.3HfNbTaTiZr,[7],9.6,108.3,63.0,AC,S,BCC,C,25.0,1188.0,124.4,1,1,6,0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,[8],7.7,110.2,,HIP+A,S,BCC,C,25.0,1965.0,255.0,3,1,6,0
Al0.3NbTaTi1.4Zr1.3,[8],8.1,,,HIP+A,M,BCC+B2,C,25.0,1965.0,242.9,3,0,7,0
Al0.4Hf0.6NbTaTiZr,[8],9.1,110.0,,HIP+A,S,BCC,C,25.0,1841.0,202.5,3,1,6,0
Al0.5CrNbTi2V0.5,[10],5.8,,,A,M,BCC+Laves,C,25.0,1340.0,232.4,0,0,9,0
Al0.5HfNbTaTiZr,[7],9.3,106.9,97.0,AC,S,BCC,C,25.0,1302.0,139.4,1,1,6,0
Al0.5Mo0.5NbTa0.5TiZr,[5],7.6,,132.0,HIP+A,M,BCC+B2,C,25.0,2350.0,309.7,3,0,7,0
Al0.5MoNbTiV,[3],6.8,158.4,172.1,AC,S,BCC,C,25.0,1625.0,238.3,1,1,6,0
Al0.5NbTa0.8Ti1.5V0.2Zr,[8],7.6,111.3,,HIP+A,M,BCC+B2,C,25.0,2035.0,269.2,3,0,7,0
Al0.5NbTaTiV,[4],8.5,126.7,98.0,AC,S,BCC,C,25.0,1012.0,119.6,1,1,6,0
Al0.6MoTaTiV,[6],8.7,174.1,,AC,S,BCC,C,25.0,962.0,110.9,1,1,6,0
Al0.75HfNbTaTiZr,[7],9.1,105.3,102.0,AC,S,BCC,C,25.0,1415.0,155.6,1,1,6,0
Al0.75MoNbTiV,[3],6.6,153.8,173.9,AC,S,BCC,C,25.0,1260.0,191.0,1,1,6,0
Al1.5MoNbTiV,[3],6.1,142.4,173.8,AC,S,BCC,C,25.0,500.0,82.5,1,1,6,0
AlCr0.5NbTiV,[11],5.6,124.1,,A,S,BCC,C,25.0,1300.0,230.6,0,1,6,0
AlCr1.5NbTiV,[11],5.9,,,A,M,BCC+Laves,C,25.0,1700.0,290.1,0,0,9,0
AlCrMoNbTi,[12],6.6,,,A,M,BCC+unknown,C,400.0,1080.0,164.5,0,0,13,0
AlCrMoTi,[13],6.0,,,A,S,BCC,C,400.0,1070.0,178.9,0,1,6,0
AlCrNbTiV,[11],5.8,,,A,M,BCC+Laves,C,25.0,1550.0,269.2,0,0,9,0
AlHfNbTaTiZr,[7],8.9,,103.0,AC,M,2 BCC,C,25.0,1489.0,168.0,1,0,0,0
AlMo0.5NbTa0.5TiZr,[5],7.1,,122.0,HIP+A,M,BCC+B2,C,25.0,2197.0,307.4,3,0,7,0
AlMo0.5NbTa0.5TiZr0.5,[5],7.2,,133.0,HIP+A,S,B2,C,25.0,1320.0,,3,1,3,0
AlMoNbTi,[13],6.5,,,A,S,BCC,C,1000.0,540.0,83.6,0,1,6,0
AlMoNbTiV,[3],6.4,149.6,174.4,AC,S,BCC,C,25.0,1375.0,214.9,1,1,6,0
AlMoTaTiV,[6],8.2,165.8,,AC,S,BCC,C,25.0,735.0,,1,1,6,0
AlNb1.5Ta0.5Ti1.5Zr0.5,[8],6.8,105.7,,HIP+A,S,BCC,C,25.0,1280.0,186.9,3,1,6,0
AlNbTa0.5TiZr0.5,[5],6.9,,124.0,HIP+A,S,B2,C,25.0,1352.0,195.3,3,1,3,0
AlNbTaTiV,[4],7.9,121.0,101.0,AC,S,BCC,C,25.0,991.0,125.6,1,1,6,0
AlNbTiV,[15],5.5,104.8,,A,S,BCC,C,25.0,1020.0,185.6,0,1,6,0
AlNbTiVZr,[16],5.8,,,A,M,B2+Al3Zr5+Laves,C,25.0,1500.0,260.4,0,0,5,0
AlNbTiVZr0.1,[16],5.5,,,A,M,B2+Al3Zr5,C,25.0,1290.0,233.2,0,0,4,0
AlNbTiVZr0.25,[16],5.6,,,A,M,B2+Al3Zr5,C,25.0,1360.0,243.8,0,0,4,0
AlNbTiVZr0.5,[16],5.6,,,A,M,B2+Al3Zr5+Laves,C,25.0,1485.0,262.9,0,0,5,0
AlNbTiVZr1.5,[16],5.8,,,A,M,B2+Al3Zr5+Laves,C,25.0,1535.0,262.6,0,0,5,0
Co.1Hf0.5Mo0.5NbTiZr,[17],7.8,,,AC,M,BCC+MC,C,25.0,1183.0,151.5,1,0,12,0
Co.3Hf0.5Mo0.5NbTiZr,[17],7.7,,,AC,M,BCC+MC,C,25.0,1201.0,156.2,1,0,12,0
CoCrMoNb,[18],8.8,,,AC,M,BCC+Laves,C,25.0,1419.6,,1,0,9,0
CoCrMoNbTi,[18],7.8,,,AC,M,BCC+Laves,C,25.0,1096.8,,1,0,9,0
CoCrMoNbTi0.2,[18],8.5,,,AC,M,BCC+Laves,C,25.0,1905.6,,1,0,9,0
CoCrMoNbTi0.4,[18],8.3,220.1,,AC,S,BCC,C,25.0,1771.3,,1,1,6,0
CoCrMoNbTi0.5,[18],8.2,,,AC,M,BCC+Laves,C,25.0,1509.2,,1,0,9,0
CrHfNbTiZr,[19],8.2,,112.0,A,M,BCC+Laves,C,25.0,1457.0,176.9,0,0,9,0
CrMo0.5NbTa0.5TiZr,[20],8.0,,,HIP+A,M,2 BCC+Laves,C,25.0,1595.0,199.5,3,0,1,0
CrNbTiVZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,25.0,1298.0,197.8,3,0,9,0
CrNbTiZr,[21],6.6,,,HIP+A,M,BCC+Laves,C,25.0,1260.0,189.5,3,0,9,0
CrTaTi0.17VW,[22],12.6,,,SPS,M,BCC+Laves,C,25.0,2034.0,161.0,5,0,9,0
CrTaTi0.3VW,[22],12.3,,,SPS,M,BCC+Laves,C,25.0,2050.0,166.1,5,0,9,0
CrTaVW,[22],13.0,,,SPS,M,BCC+Laves,C,25.0,2327.0,178.5,5,0,9,0
Hf0.4Nb1.5ATa1.5ATi0.89Zr0.64,[23],10.4,125.0,79.0,AC,S,BCC,C,25.0,822.0,79.1,1,1,6,0
Hf0.5Mo0.5NbSi0.1TiZr,[24],7.7,,,AC,M,BCC+M5Si3,C,25.0,1350.0,174.6,1,0,11,0
Hf0.5Mo0.5NbSi0.3TiZr,[24],7.5,,,AC,M,BCC+M5Si3,C,25.0,1370.0,183.3,1,0,11,0
Hf0.5Mo0.5NbSi0.5TiZr,[24],7.2,,,AC,M,BCC+M5Si3,C,25.0,1600.0,221.0,1,0,11,0
Hf0.5Mo0.5NbSi0.7TiZr,[24],7.0,,,AC,M,BCC+M5Si3,C,25.0,1550.0,220.6,1,0,11,0
Hf0.5Mo0.5NbSi0.9TiZr,[24],6.8,,,AC,M,BCC+M5Si3,C,25.0,1650.0,241.5,1,0,11,0
Hf0.5Mo0.5NbTiZr,[17],7.9,123.1,,AC,S,BCC,C,25.0,1176.0,149.4,1,1,6,0
Hf0.5Nb0.5Ta0.5Ti1.5Zr,[25],8.2,106.6,,AC,S,BCC,C,25.0,903.0,110.3,1,1,6,0
Hf0.75NbTa0.5Ti1.5Zr1.25,[26],8.4,,80.0,CR+A,S,BCC,C,268.8,2390.0,284.2,2,1,6,0
HfMo0.25NbTa1TiZr,[27],9.9,121.0,96.0,AC,S,BCC,C,25.0,1112.0,112.2,1,1,6,0
HfMo0.5NbSi0.3TiV0.5,[28],8.5,,,AC,M,BCC+M5Si3,C,25.0,1617.0,191.0,1,0,11,0
HfMo0.5NbSi0.5TiV0.5,[28],8.2,,,AC,M,BCC+M5Si3,C,25.0,1787.0,218.7,1,0,11,0
HfMo0.5NbSi0.7TiV0.5,[28],7.9,,,AC,M,BCC+M5Si3,C,25.0,2134.0,270.1,1,0,11,0
HfMo0.5NbTaTiZr,[27],9.9,130.5,102.0,AC,S,BCC,C,25.0,1317.0,132.8,1,1,6,0
HfMo0.5NbTiV0.5,[28],9.0,131.9,,AC,S,BCC,C,25.0,1260.0,140.4,1,1,6,0
HfMo0.75NbTa1TiZr,[27],9.9,139.1,109.0,AC,S,BCC,C,25.0,1373.0,138.3,1,1,6,0
HfMoNbTaTiZr,[27],9.9,147.0,115.0,AC,S,BCC,C,25.0,1512.0,152.1,1,1,6,0
HfMoNbTiZr,[30],8.7,139.2,,AC,S,BCC,C,25.0,1719.0,197.9,1,1,6,0
HfMoTaTiZr,[29],10.2,155.4,,AC,S,BCC,C,25.0,1600.0,157.0,1,1,6,0
HfNb0.18Ta0.18Ti1.27Zr,[31],8.5,95.2,79.0,CR+A,S,BCC,T,25.0,540.0,63.8,2,1,6,1
HfNbSi0.5TiV,[32],7.8,,,AC,M,BCC+M5Si3,C,25.0,1399.0,179.3,1,0,11,0
HfNbSi0.5TiVZr,[33],7.5,,,AC,M,BCC+Laves+M5Si3,C,25.0,1540.0,204.9,1,0,10,0
HfNbTaTiZr,[34],9.9,110.6,88.9,SPD,S,BCC,T,25.0,1900.0,192.0,4,1,6,1
HfNbTaZr,[43],11.1,,,A,M,BCC+HCP,C,25.0,2310.0,208.8,0,0,8,0
HfNbTiVZr,[19],8.1,99.0,128.0,A,S,BCC,C,25.0,1253.0,155.5,0,1,6,0
HfNbTiZr,[44],8.4,91.8,,A,S,BCC,T,25.0,879.0,104.8,0,1,6,1
HfTa0.4TiZr,[45],9.2,,,AC,M,BCC+HCP,T,25.0,400.0,43.5,1,0,8,1
HfTa0.5TiZr,[45],9.4,,,AC,M,BCC+HCP,T,25.0,700.0,74.7,1,0,8,1
HfTa0.6TiZr,[45],9.6,,,AC,M,BCC+HCP,T,25.0,800.0,83.7,1,0,8,1
