Composition,Al_pct,Co_pct,Cr_pct,Hf_pct,Mo_pct,Nb_pct,Si_pct,Ta_pct,Ti_pct,V_pct,W_pct,Zr_pct,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Density,Young_Modulus_ROM,Young_Modulus_Exp,Testing_Temp,Yield_Strength,Specific_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
Al0.25MoNbTiV,5.882352941176471,0.0,0.0,0.0,23.529411764705884,23.529411764705884,0.0,0.0,23.529411764705884,23.529411764705884,0.0,0.0,AC,S,BCC,C,7.1,163.6,168.0,25.0,1250.0,176.9,1,1,6,0
Al0.25NbTaTiV,5.882352941176471,0.0,0.0,0.0,0.0,23.529411764705884,0.0,23.529411764705884,23.529411764705884,23.529411764705884,0.0,0.0,AC,S,BCC,C,8.8,130.0,94.0,25.0,1330.0,151.2,1,1,6,0
Al0.25NbTaTiZr,5.882352941176471,0.0,0.0,0.0,0.0,23.529411764705884,0.0,23.529411764705884,23.529411764705884,0.0,0.0,23.529411764705884,HIP+A,M,BCC+B2,C,8.6,,118.0,25.0,1745.0,203.1,3,0,7,0
Al0.2MoTaTiV,4.761904761904762,0.0,0.0,0.0,23.80952380952381,0.0,0.0,23.80952380952381,23.80952380952381,23.80952380952381,0.0,0.0,AC,S,BCC,C,9.3,184.0,,25.0,1021.0,110.3,1,1,6,0
Al0.3HfNbTaTiZr,5.660377358490567,0.0,0.0,18.867924528301888,0.0,18.867924528301888,0.0,18.867924528301888,18.867924528301888,0.0,0.0,18.867924528301888,AC,S,BCC,C,9.6,108.3,63.0,25.0,1188.0,124.4,1,1,6,0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,28.0,4.0,0.0,26.0,HIP+A,S,BCC,C,7.7,110.2,,25.0,1965.0,255.0,3,1,6,0
Al0.3NbTaTi1.4Zr1.3,6.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,28.0,0.0,0.0,26.0,HIP+A,M,BCC+B2,C,8.1,,,25.0,1965.0,242.9,3,0,7,0
Al0.4Hf0.6NbTaTiZr,8.0,0.0,0.0,12.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,HIP+A,S,BCC,C,9.1,110.0,,25.0,1841.0,202.5,3,1,6,0
Al0.5CrNbTi2V0.5,10.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,40.0,10.0,0.0,0.0,A,M,BCC+Laves,C,5.8,,,25.0,1340.0,232.4,0,0,9,0
Al0.5HfNbTaTiZr,9.090909090909092,0.0,0.0,18.181818181818183,0.0,18.181818181818183,0.0,18.181818181818183,18.181818181818183,0.0,0.0,18.181818181818183,AC,S,BCC,C,9.3,106.9,97.0,25.0,1302.0,139.4,1,1,6,0
Al0.5Mo0.5NbTa0.5TiZr,11.11111111111111,0.0,0.0,0.0,11.11111111111111,22.22222222222222,0.0,11.11111111111111,22.22222222222222,0.0,0.0,22.22222222222222,HIP+A,M,BCC+B2,C,7.6,,132.0,25.0,2350.0,309.7,3,0,7,0
Al0.5MoNbTiV,11.11111111111111,0.0,0.0,0.0,22.22222222222222,22.22222222222222,0.0,0.0,22.22222222222222,22.22222222222222,0.0,0.0,AC,S,BCC,C,6.8,158.4,172.1,25.0,1625.0,238.3,1,1,6,0
Al0.5NbTa0.8Ti1.5V0.2Zr,10.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,30.0,4.0,0.0,20.0,HIP+A,M,BCC+B2,C,7.6,111.3,,25.0,2035.0,269.2,3,0,7,0
Al0.5NbTaTiV,11.11111111111111,0.0,0.0,0.0,0.0,22.22222222222222,0.0,22.22222222222222,22.22222222222222,22.22222222222222,0.0,0.0,AC,S,BCC,C,8.5,126.7,98.0,25.0,1012.0,119.6,1,1,6,0
Al0.6MoTaTiV,13.043478260869566,0.0,0.0,0.0,21.73913043478261,0.0,0.0,21.73913043478261,21.73913043478261,21.73913043478261,0.0,0.0,AC,S,BCC,C,8.7,174.1,,25.0,962.0,110.9,1,1,6,0
Al0.75HfNbTaTiZr,13.043478260869565,0.0,0.0,17.391304347826086,0.0,17.391304347826086,0.0,17.391304347826086,17.391304347826086,0.0,0.0,17.391304347826086,AC,S,BCC,C,9.1,105.3,102.0,25.0,1415.0,155.6,1,1,6,0
Al0.75MoNbTiV,15.789473684210526,0.0,0.0,0.0,21.05263157894737,21.05263157894737,0.0,0.0,21.05263157894737,21.05263157894737,0.0,0.0,AC,S,BCC,C,6.6,153.8,173.9,25.0,1260.0,191.0,1,1,6,0
Al1.5MoNbTiV,27.272727272727273,0.0,0.0,0.0,18.181818181818183,18.181818181818183,0.0,0.0,18.181818181818183,18.181818181818183,0.0,0.0,AC,S,BCC,C,6.1,142.4,173.8,25.0,500.0,82.5,1,1,6,0
AlCr0.5NbTiV,22.22222222222222,0.0,11.11111111111111,0.0,0.0,22.22222222222222,0.0,0.0,22.22222222222222,22.22222222222222,0.0,0.0,A,S,BCC,C,5.6,124.1,,25.0,1300.0,230.6,0,1,6,0
AlCr1.5NbTiV,18.181818181818183,0.0,27.272727272727273,0.0,0.0,18.181818181818183,0.0,0.0,18.181818181818183,18.181818181818183,0.0,0.0,A,M,BCC+Laves,C,5.9,,,25.0,1700.0,290.1,0,0,9,0
AlCrMoNbTi,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,A,M,BCC+unknown,C,6.6,,,400.0,1080.0,164.5,0,0,13,0
AlCrMoTi,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,A,S,BCC,C,6.0,,,400.0,1070.0,178.9,0,1,6,0
