Composition	Ref	Density	Young_Modulus_ROM	Young_Modulus_Exp	Equilibrium_Conditions	Single_Multiphase	Type_Present_Phases	Tension_Compression	Testing_Temp	Yield_Strength	Specific_Strength	Equilibrium_Conditions_encoded	Single_Multiphase_encoded	Type_Present_Phases_encoded	Tension_Compression_encoded
Al0.25MoNbTiV	[3]	7.1	163.6	168	AC	S	BCC	C	25	1250	176.9	1	1	6	0
Al0.25NbTaTiV	[4]	8.8	130	94	AC	S	BCC	C	25	1330	151.2	1	1	6	0
Al0.25NbTaTiZr	[5]	8.6		118	HIP+A	M	BCC+B2	C	25	1745	203.1	3	0	7	0
Al0.2MoTaTiV	[6]	9.3	184		AC	S	BCC	C	25	1021	110.3	1	1	6	0
Al0.3HfNbTaTiZr	[7]	9.6	108.3	63	AC	S	BCC	C	25	1188	124.4	1	1	6	0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3	[8]	7.7	110.2		HIP+A	S	BCC	C	25	1965	255	3	1	6	0
Al0.3NbTaTi1.4Zr1.3	[8]	8.1			HIP+A	M	BCC+B2	C	25	1965	242.9	3	0	7	0
Al0.4Hf0.6NbTaTiZr	[8]	9.1	110		HIP+A	S	BCC	C	25	1841	202.5	3	1	6	0
Al0.5CrNbTi2V0.5	[10]	5.8			A	M	BCC+Laves	C	25	1340	232.4	0	0	9	0
Al0.5HfNbTaTiZr	[7]	9.3	106.9	97	AC	S	BCC	C	25	1302	139.4	1	1	6	0
Al0.5Mo0.5NbTa0.5TiZr	[5]	7.6		132	HIP+A	M	BCC+B2	C	25	2350	309.7	3	0	7	0
Al0.5MoNbTiV	[3]	6.8	158.4	172.1	AC	S	BCC	C	25	1625	238.3	1	1	6	0
Al0.5NbTa0.8Ti1.5V0.2Zr	[8]	7.6	111.3		HIP+A	M	BCC+B2	C	25	2035	269.2	3	0	7	0
Al0.5NbTaTiV	[4]	8.5	126.7	98	AC	S	BCC	C	25	1012	119.6	1	1	6	0
Al0.6MoTaTiV	[6]	8.7	174.1		AC	S	BCC	C	25	962	110.9	1	1	6	0
Al0.75HfNbTaTiZr	[7]	9.1	105.3	102	AC	S	BCC	C	25	1415	155.6	1	1	6	0
Al0.75MoNbTiV	[3]	6.6	153.8	173.9	AC	S	BCC	C	25	1260	191	1	1	6	0
Al1.5MoNbTiV	[3]	6.1	142.4	173.8	AC	S	BCC	C	25	500	82.5	1	1	6	0
AlCr0.5NbTiV	[11]	5.6	124.1		A	S	BCC	C	25	1300	230.6	0	1	6	0
AlCr1.5NbTiV	[11]	5.9			A	M	BCC+Laves	C	25	1700	290.1	0	0	9	0
AlCrMoNbTi	[12]	6.6			A	M	BCC+unknown	C	400	1080	164.5	0	0	13	0
AlCrMoTi	[13]	6			A	S	BCC	C	400	1070	178.9	0	1	6	0
AlCrNbTiV	[11]	5.8			A	M	BCC+Laves	C	25	1550	269.2	0	0	9	0
AlHfNbTaTiZr	[7]	8.9		103	AC	M	2 BCC	C	25	1489	168	1	0	0	0
AlMo0.5NbTa0.5TiZr	[5]	7.1		122	HIP+A	M	BCC+B2	C	25	2197	307.4	3	0	7	0
AlMo0.5NbTa0.5TiZr0.5	[5]	7.2		133	HIP+A	S	B2	C	25	1320		3	1	3	0
AlMoNbTi	[13]	6.5			A	S	BCC	C	1000	540	83.6	0	1	6	0
AlMoNbTiV	[3]	6.4	149.6	174.4	AC	S	BCC	C	25	1375	214.9	1	1	6	0
AlMoTaTiV	[6]	8.2	165.8		AC	S	BCC	C	25	735		1	1	6	0
AlNb1.5Ta0.5Ti1.5Zr0.5	[8]	6.8	105.7		HIP+A	S	BCC	C	25	1280	186.9	3	1	6	0
AlNbTa0.5TiZr0.5	[5]	6.9		124	HIP+A	S	B2	C	25	1352	195.3	3	1	3	0
AlNbTaTiV	[4]	7.9	121	101	AC	S	BCC	C	25	991	125.6	1	1	6	0
AlNbTiV	[15]	5.5	104.8		A	S	BCC	C	25	1020	185.6	0	1	6	0
AlNbTiVZr	[16]	5.8			A	M	B2+Al3Zr5+Laves	C	25	1500	260.4	0	0	5	0
AlNbTiVZr0.1	[16]	5.5			A	M	B2+Al3Zr5	C	25	1290	233.2	0	0	4	0
AlNbTiVZr0.25	[16]	5.6			A	M	B2+Al3Zr5	C	25	1360	243.8	0	0	4	0
AlNbTiVZr0.5	[16]	5.6			A	M	B2+Al3Zr5+Laves	C	25	1485	262.9	0	0	5	0
AlNbTiVZr1.5	[16]	5.8			A	M	B2+Al3Zr5+Laves	C	25	1535	262.6	0	0	5	0
